46 | 2
56 | 1
59 | 1
62 | 1
63 | 5
64 | 3
65 | 12
66 | 22
67 | 28
68 | 27
69 | 50
70 | 86
71 | 136
72 | 205
73 | 307
74 | 418
75 | 543
76 | 715
77 | 1019
78 | 1217
79 | 1958
80 | 2159
81 | 2535
82 | 2874
83 | 3417
84 | 3723
85 | 4024
86 | 4080
87 | 4621
88 | 5628
89 | 4915
90 | 4938
91 | 4544
92 | 5601
93 | 4472
94 | 4952
95 | 5618
96 | 5365
97 | 4453
98 | 4495
99 | 4447
100 | 4398
101 | 4228
102 | 4421
103 | 4261
104 | 5021
105 | 4380
106 | 4915
107 | 4691
108 | 5407
109 | 5133
110 | 6049
111 | 5343
112 | 8407
113 | 6265
114 | 8029
115 | 6962
116 | 9640
117 | 8402
118 | 10657
119 | 8773
120 | 15152
121 | 11198
122 | 15001
123 | 11485
124 | 18450
125 | 14011
126 | 18278
127 | 26979
128 | 19999
129 | 18131
130 | 17684
131 | 18962
132 | 17179
133 | 17788
134 | 17312
135 | 18224
136 | 18373
137 | 16955
138 | 17409
139 | 16987
140 | 17168
141 | 16029
142 | 16684
143 | 16370
144 | 18873
145 | 14706
146 | 15619
147 | 13643
148 | 15314
149 | 12741
150 | 13658
151 | 10217
152 | 15055
153 | 10421
154 | 11793
155 | 8747
156 | 11722
157 | 8864
158 | 10109
159 | 7733
160 | 13617
161 | 7785
162 | 8864
163 | 6999
164 | 8438
165 | 6959
166 | 7698
167 | 5361
168 | 8716
169 | 5711
170 | 7002
171 | 5191
172 | 6584
173 | 5080
174 | 6126
175 | 3373
176 | 7766
177 | 4468
178 | 5673
179 | 3767
180 | 5845
181 | 4085
182 | 5151
183 | 2454
184 | 6746
185 | 3436
186 | 4796
187 | 2655
188 | 4850
189 | 2942
190 | 3760
191 | 2448
192 | 5235
193 | 2225
194 | 2555
195 | 1842
196 | 2261
197 | 1749
198 | 2013
199 | 1193
200 | 2083
201 | 1204
202 | 1470
203 | 1007
204 | 1291
205 | 855
206 | 910
207 | 502
208 | 1002
209 | 470
210 | 542
211 | 270
212 | 425
213 | 286
214 | 299
215 | 143
216 | 335
217 | 158
218 | 257
219 | 123
220 | 224
221 | 149
222 | 192
223 | 90
224 | 226
225 | 75
226 | 115
227 | 59
228 | 82
229 | 63
230 | 58
231 | 32
232 | 61
233 | 24
234 | 21
235 | 2
236 | 13
237 | 3
238 | 4
239 | 1
240 | 1
241 | 2
242 | 4
245 | 2
